PubId,Name,Phone,Email
pub1,ABC Books,1234567890,abc@example.com
pub2,XYZ Publishing,9876543210,xyz@example.com
pub3,Books R Us,5554443333,booksrus@example.com
pub4,Readwell Publications,3335552222,readwell@example.com
pub5,Novelty Press,7772221111,noveltypress@example.com
pub6,Bookworms Inc.,8881112222,bookworms@example.com
pub7,Global Publishing,4446664444,global@example.com
pub8,Inkwell Publishers,6664445555,inkwell@example.com
pub9,Classic Books,2225553333,classicbooks@example.com
pub10,LitZone,9996669999,litzone@example.com
pub11,WordSmith Publishing,1116661111,wordsmith@example.com
pub12,Golden Books,7773333333,goldenbooks@example.com
pub13,Storytellers Ltd.,5558885555,storytellers@example.com
pub14,Adventure Publishers,8881118888,adventure@example.com
pub15,Dreamscape Books,3334443333,dreamscape@example.com
pub16,BookHouse,6662221111,bookhouse@example.com
pub17,Imagination Press,4443334444,imagination@example.com
pub18,Reading Corner,9995559999,readingcorner@example.com
pub19,Enchanted Stories,2226662222,enchantedstories@example.com
pub20,Poetry Publications,1238881234,poetry@example.com
